Id;ID_Insumo;Codigo;Descripcion;RNPA;DiaVencimiento;EtiquetaPieza;CantEtiquetasPorPieza;PiezasPorCaja;EtiquetaCaja;CantEtiquetasPorCaja;CajasPorPallet;EtiquetaPallet;CantEtiquetasPorPallet;CodigoBarraArticulo_GS1;CodigoBarraCaja_GS1;PesoNominal;LargoMax;ConPesoNominal;upsize_ts;ConFechaVencimiento;DiasAlmacenamiento
46;7;17;POR SALUT CON SAL (Bandeja);NULL;90;False;0;4;False;0;36;False;4;7790309000131;17790309000138;2;0,25;False;NULL;False;8
47;7;101;POR SALUT C/SAL 1/2 H (Bandeja);NULL;90;False;0;8;False;0;36;False;4;7790309000384;NULL;2,1;0,25;False;NULL;False;0
48;7;18;POR SALUT SIN SAL (Bandeja);NULL;90;False;0;4;False;0;36;False;4;7790309000162;17790309000169;2;0,25;False;NULL;False;8
49;7;102;POR SALUT S/SAL 1/2 H (Bandeja);NULL;90;False;0;8;False;0;36;False;4;7790309000360;NULL;0,5;0,25;False;NULL;False;0
50;7;281;POR SALUT LIGHT CON SAL (Bandeja);NULL;90;False;0;4;False;0;36;False;4;7790309001022;NULL;2;0,25;False;NULL;False;0
51;7;282;PORT SALUT LIGHT CON SAL 1/2 HORMA (Bandeja);NULL;90;False;0;8;False;0;36;False;4;7790309001039;NULL;0,5;0,25;False;NULL;False;0
52;7;205;POR SALUT SIN SAL LIGHT (Bandeja);NULL;90;False;0;4;False;0;36;False;4;7790001001054;17790309000787;2;0,25;False;NULL;False;0
53;7;206;POR SALUT SIN SAL LIGHT X 1/2 HORMA (Bandeja);NULL;90;False;0;8;False;0;36;False;4;7790001001054;NULL;0,5;0,25;False;NULL;False;0
54;7;114;BARRA BARRAZA 1/2 H (Bandeja);NULL;90;False;0;10;False;0;36;False;4;7790309000544;NULL;0,5;0,16;False;NULL;False;0
55;7;4;QUESO MUZZARELLA P/ FETEAR (Bandejas);NULL;120;False;0;5;False;0;36;False;4;7790309000247;NULL;2;0,32;False;NULL;False;0
56;7;143;RICOTTA BARRAZA EN SACHET X 1 KG (Bandeja);NULL;21;False;0;20;False;0;36;False;4;7790309000087;NULL;1;NULL;True;NULL;True;0
58;7;16;SARDO FRESCO;NULL;240;False;0;6;False;0;36;False;4;NULL;NULL;2;0,18;False;NULL;False;0
59;3;55;CREMOSO BARRAZA X 500 GRS;NULL;60;False;0;20;False;2;56;False;4;NULL;NULL;0,5;0,15;True;NULL;False;0
60;3;68;POR SALUT SIN SAL X 500 GRS;NULL;60;False;0;20;False;2;56;False;4;NULL;NULL;0,5;0,15;True;NULL;False;0
61;3;69;POR SALUT CON SAL X 500 GRS;NULL;60;False;0;20;False;2;56;False;4;NULL;NULL;0,5;0,15;True;NULL;False;0
57;7;60;PROVOLETA BARRAZA (Bandejas);NULL;120;False;0;5;False;0;36;False;4;7790309000193;NULL;2;0,32;False;NULL;False;0
